objname,RAJ2000,DECJ2000,z_phot_DE,z_spec_DE,z_spec_SRC,r_mag_DE,g_mag_SRC,catalogue,catalogue_objname,catalogue_objid,duplicated,duplicated_objname,,,link to AGEL Measured Redshifts,link to Spectral Observations Tally,z_spec_SRC_Spectral_Observations_Tally,link to SDSS Spectra,z_spec from SDSS (deflector),Photometry Observations Tally,Proposal_ID (from Photometry Observations Tally),AGEL Measured Redshifts,Start date,End date,2d/1d spectra,Last Modified By,Last Modified
AGEL000224-350716A,0.59845,-35.12122,0.51,,,20.67,21.69,Jacobs+2019_DES,DESJ0002-3507,139741252,,,,,,AGEL000224-350716A,1.549,,,,,,,,"DESJ0002-3507_lens.png (https://dl.airtable.com/.attachments/263aa56f5e41f7076ccbe0a7e6bcb69f/c2e51a21/DESJ0002-3507_lens.png),DESJ0002-3507_OIII5006_4959_Hbeta.png (https://dl.airtable.com/.attachments/443af1caab43755816bea5f6bb865fc5/555c7bcf/DESJ0002-3507_OIII5006_4959_Hbeta.png)",Tania Barone,24/10/2022 12:56pm
AGEL224621+223338A,341.58817,22.560451,,,,21.66,,CASSOWARY,CSWA130,0,,,,,AGEL224621+223338A,AGEL224621+223338A,2.259,,,,,,,,Screenshot from 2022-05-10 13-25-35.png (https://dl.airtable.com/.attachments/992b586349a30cebf120e2719bb71892/310673cb/Screenshotfrom2022-05-1013-25-35.png),Tania Barone,13/1/2022 5:29pm
AGEL113957+525258A,174.987,52.8828,,0.538,,21.38,,Canameras2020,PS1J1139+5252,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:16pm
AGEL020641-175934A,31.6711,-17.9929,,0.155,,19.62,,Huang+2021,DESI-031.6711-17.9929,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:40pm
AGEL150925+390140A,227.3528,39.0279,,0.598,,20.18,,Huang+2021,DESI-227.3528+39.0279,0,,,,,,,,AGEL150925+390140A,0.6819322,AGEL150925+390140A,HUANG_15867_HST,,,,,Tania Barone,4/2/2022 3:18pm
AGEL022323-061929A,35.8438,-6.3246,,0.356,,18.32,,Huang+2020,DESI-035.8438-06.3246,0,,,,,,,,AGEL022323-061929A,0.3559948,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL000643+050125A,1.6798,5.0237,,0.432,,18.57,,Huang+2021,DESI-001.6798+05.0237,0,,,,,,,,AGEL000643+050125A,0.4217075,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL235853+012406A,359.7217,1.4018,,0.34,,19.89,,Huang+2021,DESI-359.7217+01.4018,0,,,,,,,,AGEL235853+012406A,0.4805106,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL003428+022522A,8.6173,2.4228,,0.455,,20.73,,Huang+2021,DESI-008.6173+02.4228,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:28pm
AGEL034320-161742A,55.8328,-16.2951,,0.223,,19.98,,Huang+2021,DESI-055.8328-16.2951,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:53pm
AGEL133607+253659A,204.03,25.6164,,0.494,,20.54,,Huang+2021,DESI-204.0300+25.6164,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:20pm
AGEL211515+101153A,318.8128574,10.19808713,,,,19.33,20.68,Jacobs+2019_DECaLS,DCLS2115+1011,6237602,Canameras2020,PS1J2115+1011,,,,AGEL211515+101153A,0.25,,,AGEL211515+101153A,GLAZEBROOK_16773_HST,,,,,Nandini Sahu,7/10/2022 11:44am
AGEL031430-093341A,48.6263,-9.5613,,0.324,,19.38,,Huang+2021,DESI-048.6263-09.5613,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:50pm
AGEL073401+344334A,113.5048,34.7261,,0.616,,20.08,,Huang+2021,DESI-113.5048+34.7261,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:06pm
AGEL113024+054360A,172.6002,5.7333,,0.264,,19.25,,Huang+2021,DESI-172.6002+05.7333,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:16pm
AGEL104056-010359A,160.2351,-1.0663,,0.25,,16.33,,Huang+2020,DESI-160.2351-01.0663,0,,,,,,AGEL104056-010359A,1.21,AGEL104056-010359A,0.2502421,AGEL104056-010359A,HUANG_15867_HST,,,,,Tania Barone,4/2/2022 3:18pm
AGEL160656+420637A,241.7346,42.1102,,0.892,,20.45,,Huang+2021,DESI-241.7346+42.1102,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:27pm
AGEL003855+071923A,9.7307,7.323,,0.255,,17.21,,Huang+2021,DESI-009.7307+07.3230,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:28pm
AGEL113750+463634A,174.4592,46.6094,,0.313,,17.51,,Huang+2021,DESI-174.4592+46.6094,0,,,,,,,,AGEL113750+463634A,0.3150853,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL020037+142433A,30.1551,14.4092,,0.504,,19.82,,Huang+2021,DESI-030.1551+14.4092,0,,,,,,,,AGEL020037+142433A,0.5640303,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL231812-110604A,349.5492,-11.1012,0.71,,,17.78,,Huang+2020,DESI-349.5492-11.1012,0,,,,,,AGEL231812-110604A,2.656,,,AGEL231812-110604A,HUANG_15867_HST,,,,,Nandini Sahu,23/9/2022 3:04pm
AGEL134348+192943A,205.95,19.4953,,0.931,,19.59,,Canameras2020,PS1J1343+1929,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:21pm
AGEL150511+172042A,226.295,17.3451,,0.484,,18.81,,Huang+2021,DESI-226.2950+17.3451,0,,,,,,,,AGEL150511+172042A,0.5105249,AGEL150511+172042A,HUANG_15867_HST,,,,,Tania Barone,4/2/2022 3:18pm
AGEL085331+232155A,133.38,23.3652,0.28,,,17.64,,Huang+2021,DESI-133.3800+23.3652,0,,,,,"AGEL085331+232155A,AGEL085331+232155B",AGEL085331+232155A,2.188,,,AGEL085331+232155A,HUANG_15867_HST,,,,Screenshot from 2022-05-10 20-58-02.png (https://dl.airtable.com/.attachments/683a4e639bc15a499f2260c9e2dc1024/59222581/Screenshotfrom2022-05-1020-58-02.png),Tania Barone,4/2/2022 3:18pm
AGEL013907+220723A,24.7783,22.1231,,0.468,,19.09,,Huang+2021,DESI-024.7783+22.1231,0,,,,,,,,AGEL013907+220723A,0.4769736,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL003508-252658A,8.78153,-25.44932,0.74,,,20.89,20.65,Jacobs+2019_DES,DESJ0035-2526,210368868,,,,,,AGEL003508-252658A,n/a,,,,,,,,,Tania Barone,13/1/2022 5:29pm
AGEL011226+022238A,18.1074,2.3773,,0.504,,19.35,,Huang+2020,DESI-018.1074+02.3773,0,,,,,,,,AGEL011226+022238A,0.5039438,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL124218+275146A,190.5769,27.8629,,0.511,,19.44,,Huang+2021,DESI-190.5769+27.8629,0,,,,,,,,AGEL124218+275146A,0.5889756,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL025732-232110A,44.383,-23.3527,,0.529,,19.49,,Huang+2021,DESI-044.3830-23.3527,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:48pm
AGEL075326+103047A,118.3583,10.513,,0.566,,20.19,,Huang+2021,DESI-118.3583+10.5130,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL024435-171440A,41.1456,-17.2445,,0.396,,20.44,,Huang+2021,DESI-041.1456-17.2445,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:47pm
AGEL090806+011956A,137.0261,1.3321,,0.675,,20.06,,Huang+2021,DESI-137.0261+01.3321,0,,,,,,,,AGEL090806+011956A,0.6589735,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL004217-053504A,10.5692,-5.5844,,0.276,,20.96,,Huang+2021,DESI-010.5692-05.5844,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:28pm
AGEL093150+260135A,142.958,26.0264,,0.325,,20.12,,Canameras2020,PS1J0931+2601,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:10pm
AGEL231934-010610A,349.8902,-1.1028,,0.571,,20.27,,Huang+2021,DESI-349.8902-01.1028,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:38pm
AGEL014933+002753A,27.3879,0.4647,,0.489,,18.71,,Huang+2021,DESI-027.3879+00.4647,0,,,,,,,,AGEL014933+002753A,0.4852116,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL181354+344441A,273.4736,34.7448,,0.311,,18.37,,Huang+2021,DESI-273.4736+34.7448,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:29pm
AGEL043316-410319A,68.3176,-41.0553,,0.586,,20.69,,Huang+2021,DESI-068.3176-41.0553,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:58pm
AGEL141531+111208A,213.879,11.2022,,0.316,,19.81,,Canameras2020,PS1J1415+1112,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:23pm
AGEL022501-053621A,36.2542,-5.6058,,0.438,,19.29,,Huang+2020,DESI-036.2542-05.6058,0,,,,,,,,AGEL022501-053621A,0.4380738,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL081410+113211A,123.542,11.5365,,0.12,,17.85,,Huang+2021,DESI-123.5420+11.5365,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL134915+053751A,207.312,5.63083,,0.505,,20.75,,Canameras2020,PS1J1349+0537,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:21pm
AGEL225822+050105A,344.5905,5.0181,,0.692,,21,,Huang+2021,DESI-344.5905+05.0181,0,,,,,,,,AGEL225822+050105A,0.9555196,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL093606+125021A,144.0261,12.8391,,0.285,,19.48,,Huang+2021,DESI-144.0261+12.8391,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:11pm
AGEL011919+272902A,19.8273,27.484,,0.636,,20.25,,Huang+2021,DESI-019.8273+27.4840,0,,,,,,,,AGEL011919+272902A,0.6252325,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL155911+073048A,239.7952,7.5133,,0.449,,19.02,,Huang+2021,DESI-239.7952+07.5133,0,,,,,,,,AGEL155911+073048A,0.5101765,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL143910+120825A,219.7907,12.1404,,0.427,,18.6,,Huang+2020,DESI-219.7907+12.1404,0,,,,,,,,AGEL143910+120825A,0.4273356,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL002453-015033A,6.2199,-1.8426,,0.691,,21.06,,Huang+2021,DESI-006.2199-01.8426,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:27pm
AGEL075259+523735A,118.2474,52.6265,,0.819,,20.81,,Huang+2021,DESI-118.2474+52.6265,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL120401+473217A,181.0043,47.5381,,0.486,,19.35,,Huang+2021,DESI-181.0043+47.5381,0,,,,,,,,AGEL120401+473217A,0.4941183,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL033456-195521A,53.7319,-19.9224,,0.226,,19,,Huang+2021,DESI-053.7319-19.9224,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:52pm
AGEL015138-040715A,27.9088,-4.1209,,0.641,,20.11,,Huang+2021,DESI-027.9088-04.1209,0,,,,,,,,AGEL015138-040715A,0.6700317,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL110051-005252A,165.213,-0.881,,0.451,,20.67,,Huang+2021,DESI-165.2130-00.8810,0,,,,,,,,AGEL110051-005252A,0.4629296,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL015159-082153A,27.9976,-8.3646,,0.622,,19.81,,Huang+2021,DESI-027.9976-08.3646,0,,,,,,,,AGEL015159-082153A,0.6036801,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL135623+033909A,209.0944,3.6524,,0.269,,16.43,,Huang+2021,DESI-209.0944+03.6524,0,,,,,,,,AGEL135623+033909A,0.2618577,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL104052+302912A,160.217,30.4867,,0.437,,20.88,,Canameras2020,PS1J1040+3029,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:13pm
AGEL010709+011729A,16.7876,1.2914,,0.422,,18.39,,Huang+2020,DESI-016.7876+01.2914,0,,,,,,,,AGEL010709+011729A,0.4217256,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL123660+252039A,189.2482,25.3442,,0.613,,19.31,,Huang+2021,DESI-189.2482+25.3442,0,,,,,,,,AGEL123660+252039A,0.6387434,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL022817-080243A,37.0727,-8.0452,0.44,0.483,,,,Gavazzi2014_SL2S,022817-080242,0,,,,,,,,AGEL022817-080243A,0.4831903,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL120105-022205A,180.2708,-2.3681,,0.367,,19.28,,Huang+2021,DESI-180.2708-02.3681,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:17pm
AGEL205555+084359A,313.978,8.7331,,0.186,,21.13,,Huang+2021,DESI-313.9780+08.7331,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:30pm
AGEL095332+103251A,148.384,10.5475,,0.345,,18.56,,Huang+2021,DESI-148.3840+10.5475,0,,,,,,,,AGEL095332+103251A,0.3675793,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL100452-003145A,151.2154,-0.5291,,0.634,,19.85,,Huang+2021,DESI-151.2154-00.5291,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:12pm
AGEL042121-295329A,65.3372,-29.8915,,0.202,,17.91,,Huang+2021,DESI-065.3372-29.8915,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:57pm
AGEL071019+401031A,107.5775,40.1752,,0.293,,17.62,,Huang+2021,DESI-107.5775+40.1752,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:06pm
AGEL075348+205710A,118.4491,20.9528,,0.587,,20.25,,Huang+2021,DESI-118.4491+20.9528,0,,,,,,,,AGEL075348+205710A,0.8139681,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL120747+273655A,181.9442,27.6152,,0.328,,17.04,,Huang+2020,DESI-181.9442+27.6152,0,,,,,,,,AGEL120747+273655A,0.3282245,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL135049+525721A,207.705,52.9559,,0.288,,17.82,,Huang+2021,DESI-207.7050+52.9559,0,,,,,,,,AGEL135049+525721A,0.2964875,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL091757+642650A,139.4885,64.4473,,0.524,,19.96,,Huang+2021,DESI-139.4885+64.4473,0,,,,,,,,AGEL091757+642650A,0.5240291,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL104249+623940A,160.7046,62.6611,,0.357,,18.33,,Huang+2021,DESI-160.7046+62.6611,0,,,,,,,,AGEL104249+623940A,0.4109606,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL170555+284959A,256.479,28.8331,,0.468,,20.9,,Canameras2020,PS1J1705+2849,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL133145+513431A,202.9388,51.5753,0.28,,,17.57,,Huang+2021,DESI-202.9388+51.5753,0,,,,,AGEL133145+513431A,AGEL133145+513431A,2.051,AGEL133145+513431A,0.289379,AGEL133145+513431A,HUANG_15867_HST,,,,,Tania Barone,4/2/2022 3:18pm
AGEL234845+014835A,357.187,1.80972,,0.59,,21.64,,Canameras2020,PS1J2348+0148,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:39pm
AGEL010357-070810A,15.9876,-7.136,,0.438,,19.17,,Huang+2021,DESI-015.9876-07.1360,0,,,,,,,,AGEL010357-070810A,0.4587894,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL194635+602154A,296.6448,60.3651,,0.285,,17.96,,Huang+2021,DESI-296.6448+60.3651,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:29pm
AGEL091905+033639A,139.7691583,3.61072384,,,,18.56,20.17,Jacobs+2019_DECaLS,DCLS0919+0336,10110626,Canameras2020,PS1J0919+0336,,,,AGEL091905+033639A,2.195,AGEL091905+033639A,0.4439706,,,,,,,Nandini Sahu,20/1/2023 11:44am
AGEL012908-070506A,22.2823,-7.0851,,0.34,,18.51,,Huang+2021,DESI-022.2823-07.0851,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:34pm
AGEL010316+000456A,15.8164,0.0823,,0.266,,18.08,,Huang+2020,DESI-015.8164+00.0823,0,,,,,,,,AGEL010316+000456A,0.2662131,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL111953+144444A,169.9718,14.7456,,0.197,,19.35,,Huang+2021,DESI-169.9718+14.7456,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:15pm
AGEL145057+033322A,222.7392,3.5562,,0.287,,20.15,,Huang+2021,DESI-222.7392+03.5562,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:24pm
AGEL152353+045450A,230.9711,4.9138,,0.634,,21,,Huang+2021,DESI-230.9711+04.9138,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:25pm
AGEL141144+535043A,212.9318,53.8454,0.43,0.393,,,,Gavazzi2014_SL2S,141143+535043,0,,,,,,,,AGEL141144+535043A,0.39294,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL084907+220241A,132.2802,22.0446,,0.29,,18.09,,Huang+2021,DESI-132.2802+22.0446,0,,,,,,,,AGEL084907+220241A,0.4459276,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL224229+031217A,340.6218,3.2048,,0.574,,21.55,,Huang+2021,DESI-340.6218+03.2048,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:35pm
AGEL025440-041826A,43.666,-4.3071,,0.288,,17.68,,Huang+2021,DESI-043.6660-04.3071,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:48pm
AGEL000547+154853A,1.4446,15.8147,,0.214,,17.5,,Huang+2021,DESI-001.4446+15.8147,0,,,,,,,,AGEL000547+154853A,0.2235449,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL104950+054630A,162.4577,5.7749,,0.264,,17.37,,Huang+2020,DESI-162.4577+05.7749,0,,,,,,,,AGEL104950+054630A,0.2639784,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL002547+033844A,6.4448,3.6455,,0.409,,19.39,,Huang+2021,DESI-006.4448+03.6455,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:27pm
AGEL105448+273411A,163.7019,27.5697,,0.527,,18.55,,Huang+2021,DESI-163.7019+27.5697,0,,,,,,,,AGEL105448+273411A,0.5428169,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL021248-055552A,33.1994,-5.9312,,0.502,,21.01,,Huang+2021,DESI-033.1994-05.9312,0,Gavazzi2014_SL2S,021247-055552,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:41pm
AGEL221650+021529A,334.2071,2.2581,0.33,0.26,,,,Gavazzi2014_SL2S,221649+021529,0,,,,,,,,AGEL221650+021529A,0.2601056,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL165140+280517A,252.9173,28.0881,0.72,,,20.31,,Huang+2021,DESI-252.9173+28.0881,0,,,,,,AGEL165140+280517A,2.379,,,AGEL165140+280517A,HUANG_15867_HST,,,,,Tania Barone,23/3/2022 11:44am
AGEL002417+012516A,6.0703,1.4212,,0.495,,19.28,,Huang+2021,DESI-006.0703+01.4212,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:27pm
AGEL022345-042402A,35.9393,-4.4005,,0.304,,18.53,,Huang+2020,DESI-035.9393-04.4005,0,,,,,,,,AGEL022345-042402A,0.3037407,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL013517+045105A,23.8193,4.8514,,0.69,,21.07,,Huang+2021,DESI-023.8193+04.8514,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:35pm
AGEL075453+312753A,118.7209,31.4647,,0.616,,20.29,,Huang+2021,DESI-118.7209+31.4647,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL114743+674320A,176.9273,67.7222,,0.599,,20.2,,Huang+2021,DESI-176.9273+67.7222,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:16pm
AGEL133657+120140A,204.2365,12.0278,,0.533,,20.96,,Huang+2021,DESI-204.2365+12.0278,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:20pm
AGEL225210-041307A,343.0402,-4.2187,,0.421,,17.83,,Huang+2021,DESI-343.0402-04.2187,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:36pm
AGEL130718+230923A,196.8233,23.1565,,0.382,,18.92,,Huang+2021,DESI-196.8233+23.1565,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:19pm
AGEL005843-050134A,14.681,-5.026,,0.593,,20.62,,Huang+2021,DESI-014.6810-05.0260,0,,,,,,,,AGEL005843-050134A,0.8044736,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL011131+085542A,17.8812,8.9282,,0.406,,17.97,,Huang+2021,DESI-017.8812+08.9282,0,,,,,,,,AGEL011131+085542A,0.4854517,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL115219+084901A,178.0775,8.817,,0.324,,18.75,,Huang+2021,DESI-178.0775+08.8170,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:17pm
AGEL013729+054539A,24.3726,5.7609,,0.362,,19.51,,Huang+2021,DESI-024.3726+05.7609,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:35pm
AGEL000247+270522A,0.6943,27.0894,,0.584,,21.08,,Huang+2021,DESI-000.6943+27.0894,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:25pm
AGEL175146+433505A,267.9412,43.5847,,0.742,,20.77,,Huang+2021,DESI-267.9412+43.5847,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL103626+125945A,159.1096,12.9958,,0.302,,20.17,,Huang+2021,DESI-159.1096+12.9958,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:13pm
AGEL100111+461033A,150.2941,46.1759,,0.632,,21.32,,Huang+2021,DESI-150.2941+46.1759,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:12pm
AGEL201419-575701A,303.58076,-57.950411,0.8,,,21.85,22.43,Jacobs+2019_DES,DESJ2014-5757,166130477,,,,,,AGEL201419-575701A,2.191,,,AGEL201419-575701A,GLAZEBROOK_16773_HST,,,,"DESJ2014-5757_lens.png (https://dl.airtable.com/.attachments/2b92ec099ba33152249036786e6d49f8/51a94ce2/DESJ2014-5757_lens.png),DESJ2014-5757_OIII5006_4959_Hbeta.png (https://dl.airtable.com/.attachments/dbe3881cfde45375ddcdbb0e31bcb4f2/776f312d/DESJ2014-5757_OIII5006_4959_Hbeta.png)",Tania Barone,20/4/2022 3:11pm
AGEL141757+212013A,214.487,21.3369,,0.423,,20.4,,Canameras2020,PS1J1417+2120,0,,,,,,,,,,,,,,,,Keerthi Vasan G C,2/6/2022 2:46am
AGEL105645+161825A,164.1866,16.307,,0.253,,17.54,,Huang+2021,DESI-164.1866+16.3070,0,,,,,,,,AGEL105645+161825A,0.3039126,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL231112-092409A,347.7997,-9.4026,,0.638,,19.64,,Huang+2021,DESI-347.7997-09.4026,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:37pm
AGEL234029+294747A,355.119,29.7964,,0.496,,19.44,,Huang+2021,DESI-355.1190+29.7964,0,,,,,,,,AGEL234029+294747A,0.4851381,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL023134-044922A,37.8937,-4.8229,0.42,0.393,,,,Gavazzi2014_SL2S,023134-044922,0,,,,,,,,AGEL023134-044922A,0.3927799,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL053724-464702A,84.35163,-46.78401,0.41,,,19.5,22.77,Jacobs+2019_DES,DESJ0537-4647,440192267,,,,,,AGEL053724-464702A,2.3443,,,AGEL053724-464702A,GLAZEBROOK_16773_HST,,,,,Tania Barone,22/9/2022 10:49am
AGEL224506+004018A,341.2747,0.6718,,0.643,,20.12,,Huang+2021,DESI-341.2747+00.6718,0,,,,,,,,AGEL224506+004018A,0.7020918,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL092031+024659A,140.1299,2.783,,0.253,,18.29,,Huang+2021,DESI-140.1299+02.7830,0,,,,,,,,AGEL092031+024659A,0.278886,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL143112+030033A,217.7996,3.0093,,0.167,,17.28,,Huang+2021,DESI-217.7996+03.0093,0,,,,,,,,AGEL143112+030033A,0.2631498,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL015748-010913A,29.4504,-1.1535,,0.542,,19.15,,Huang+2021,DESI-029.4504-01.1535,0,,,,,,,,AGEL015748-010913A,0.5429488,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL165050+312328A,252.708,31.3911,,0.682,,21.58,,Canameras2020,PS1J1650+3123,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL145257+580311A,223.2358,58.0531,,0.332,,19.33,,Huang+2021,DESI-223.2358+58.0531,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:25pm
AGEL221610+002117A,334.0419,0.3546,0.73,0.751,,,,Gavazzi2014_SL2S,221610+002116,0,,,,,,,,AGEL221610+002117A,0.750622,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL233541+003928A,353.9228,0.6577,,0.462,,20.39,,Huang+2021,DESI-353.9228+00.6577,0,,,,,,,,AGEL233541+003928A,0.4835181,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL003752-111040A,9.4655,-11.1778,,0.603,,19.77,,Huang+2021,DESI-009.4655-11.1778,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:28pm
AGEL223334+301223A,338.392,30.2064,,0.361,,20.06,,Canameras2020,PS1J2233+3012,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:35pm
AGEL024823+024657A,42.094,2.7825,,0.386,,21.16,,Huang+2021,DESI-042.0940+02.7825,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:48pm
AGEL014458+004806A,26.2418,0.8017,,0.477,,19.09,,Huang+2021,DESI-026.2418+00.8017,0,,,,,,,,AGEL014458+004806A,0.4858811,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL113929-021826A,174.8726952,-2.30721858,,,,20.55,22.32,Jacobs+2019_DECaLS,DCLS1139-0218,15022035,Huang+2021,DESI-174.8727-02.3072,,,,AGEL113929-021826A,1.55,,,,,,,,,Nandini Sahu,20/1/2023 11:46am
AGEL081427+272001A,123.6121,27.3335,,0.338,,17.86,,Huang+2021,DESI-123.6121+27.3335,0,,,,,,,,AGEL081427+272001A,0.2856734,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL000006+213829A,0.0254,21.6415,,0.503,,19.66,,Huang+2021,DESI-000.0254+21.6415,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:25pm
AGEL024852-003158A,42.2156,-0.5329,,0.255,,18.02,,Huang+2020,DESI-042.2156-00.5329,0,,,,,,,,AGEL024852-003158A,0.2547069,,,,,,,Tania Barone,25/1/2022 6:39pm
