objname,RAJ2000,DECJ2000,z_phot_DE,z_spec_DE,z_spec_SRC,r_mag_DE,g_mag_SRC,catalogue,catalogue_objname,catalogue_objid,duplicated,duplicated_objname,,,link to AGEL Measured Redshifts,link to Spectral Observations Tally,z_spec_SRC_Spectral_Observations_Tally,link to SDSS Spectra,z_spec from SDSS (deflector),Photometry Observations Tally,Proposal_ID (from Photometry Observations Tally),AGEL Measured Redshifts,Start date,End date,2d/1d spectra,Last Modified By,Last Modified
AGEL212512-650427A,321.300117,-65.074076,0.78,0.779,2.221,21.37,22.94,Jacobs+2019_DES,DESJ2125-6504,191159999,,,,,AGEL212512-650427A,    AGEL212512-650427A,2.221,,,AGEL212512-650427A,"M/2018B/09,GLAZEBROOK_16773_HST",,,,,Tania Barone,4/2/2022 3:18pm
AGEL144149+144121B,220.4549,14.6891,,0.741,2.2,20.53,,Huang+2021,DESI-220.4549+14.6891,,CASSOWARY,"CSWA20
",,,,AGEL144149+144121B,"2.3406
",,,AGEL144149+144121B,HUANG_15867_HST,,,,,Keerthi Vasan G C,1/6/2022 9:25pm
AGEL221912-434835A,334.80166,-43.809752,0.71,0.71,2.167,21.02,22.32,Jacobs+2019_DES,DESJ2219-4348,80103224,,,,,AGEL221912-434835A,AGEL221912-434835A,2.167,,,    AGEL221912-434835A,"SOAR,GLAZEBROOK_16773_HST",,,,,Tania Barone,4/2/2022 3:18pm
AGEL021902-082935A,34.7589,-8.493,0.5,0.389,2.16,,,Gavazzi2014_SL2S,021902-082934,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:42pm
AGEL220329+020519A,330.8709,2.0886,0.38,0.4,2.15,,,Gavazzi2014_SL2S,220329+020518,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:33pm
AGEL084960-025143A,132.499,-2.8619,0.31,0.274,2.09,,,Gavazzi2014_SL2S,084959-025142,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:08pm
AGEL021801-080247A,34.5053,-8.0465,1.06,0.884,2.06,,,Gavazzi2014_SL2S,021801-080247,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:42pm
AGEL033717-315214A,54.32183,-31.870431,0.47,0.525,1.954,20.34,21.33,Jacobs+2019_DES,DESJ0337-3152,370414914,,,,,AGEL033717-315214A,    AGEL033717-315214A,1.954,,,,,,,,,Tania Barone,13/1/2022 5:29pm
AGEL020457-110309A,31.2392,-11.0526,0.76,0.609,1.888,,,Gavazzi2014_SL2S,020457-110309,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:39pm
AGEL021411-040503A,33.5467,-4.0841,0.74,0.609,1.88,,,Gavazzi2014_SL2S,021411-040502,0,,,,,,,,AGEL021411-040503A,0.6086346,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL123736+553343A,189.4008,55.5619,,0.41,1.864,18.45,,Huang+2021,DESI-189.4008+55.5619,0,CASSOWARY,CSWA13,,,,AGEL123736+553343A,"1.864
",AGEL123736+553343A,0.4099318,AGEL123736+553343A,HUANG_15867_HST,,,,,Tania Barone,20/4/2022 4:11pm
